amount,transactions_last_hour,account_age_days,new_device,location_changed,failed_attempts,time_since_last_transaction,is_fraud
89.72,1,899,0,0,1,362.0,1
47.55,1,77,0,0,1,79.0,1
104.34,1,384,0,0,0,1193.0,0
250.39,4,947,0,0,1,892.0,1
43.2,4,121,0,0,1,1603.0,1
43.2,4,744,0,0,1,2101.0,0
264.86,6,145,0,0,0,1628.0,1
117.62,3,1117,1,0,0,587.0,0
34.14,4,485,0,0,0,155.0,1
93.93,4,837,0,0,1,2370.0,0
34.35,1,505,0,0,1,666.0,1
34.27,2,1346,0,0,0,511.0,1
69.54,1,1099,0,0,3,2111.0,0
8.06,2,463,0,0,0,1050.0,1
9.73,1,151,0,0,0,412.0,1
31.12,8,1159,0,0,0,2619.0,1
19.83,2,939,0,0,1,2955.0,0
74.76,2,1214,0,0,1,7594.0,0
22.02,6,1058,0,0,0,1136.0,1
13.3,2,1382,0,0,0,67.0,0
236.43,2,1129,0,0,0,1311.0,0
43.56,0,369,0,0,1,42.0,1
58.41,1,172,0,0,1,5307.0,0
13.13,1,1094,0,0,0,346.0,0
31.68,4,720,0,0,1,4672.0,0
61.0,2,439,0,0,1,5393.0,0
17.27,5,1346,1,1,0,2689.0,0
79.5,3,570,1,0,1,164.0,1
29.94,3,1144,0,0,2,1471.0,1
40.78,5,683,0,0,0,787.0,0
29.91,3,111,0,0,0,3089.0,0
348.03,3,1280,1,0,0,648.0,1
53.87,5,1446,1,0,0,1080.0,1
18.96,4,156,0,0,1,1535.0,1
124.28,1,1209,0,1,1,65.0,1
16.11,4,553,0,0,0,1690.0,1
67.28,3,713,0,0,0,760.0,0
7.69,1,985,0,0,0,1356.0,0
14.47,3,1261,0,1,0,240.0,1
66.48,2,1469,1,0,0,737.0,1
114.26,3,1349,0,1,1,1569.0,1
64.8,1,1401,0,0,1,1526.0,1
48.64,1,849,0,0,0,309.0,0
40.4,2,503,1,0,0,964.0,1
12.45,4,457,0,0,0,1319.0,0
26.58,2,407,0,0,1,152.0,1
34.44,2,692,0,0,1,1646.0,0
157.14,4,1019,0,0,0,474.0,0
76.99,2,1112,0,0,1,4551.0,0
9.36,3,1129,0,0,0,563.0,0
75.5,4,1482,0,0,1,2787.0,0
37.15,5,884,0,0,0,1571.0,1
27.75,3,966,0,0,0,2081.0,1
100.65,2,257,0,0,0,4177.0,0
153.09,5,1158,0,0,0,3389.0,1
138.56,4,952,0,0,0,246.0,1
23.59,1,1309,0,0,1,4886.0,0
40.08,5,387,0,0,0,269.0,1
76.04,2,896,0,0,0,685.0,0
144.83,3,621,0,0,0,1333.0,1
33.81,2,344,0,0,0,4875.0,0
45.35,10,426,0,0,0,1776.0,1
18.06,4,1161,0,0,0,3742.0,0
16.51,3,849,0,0,1,5117.0,0
123.04,4,747,1,0,3,2484.0,1
211.93,5,294,0,0,0,1184.0,1
50.8,3,1066,0,1,0,884.0,0
148.94,1,1074,1,0,0,579.0,1
78.39,2,782,0,0,1,1272.0,0
28.64,3,1197,0,0,0,89.0,1
