transaction_id,user_id,receiver_id,amount,timestamp,txns_last_24h,avg_amt_last_7d,Transaction Status,fraud_status,risk_score,explanation
TXN001,U001,R101,450,27/01/2026 09:15:00,24,20,True,NORMAL,0.6,High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN002,U002,R102,300,27/01/2026 10:05:00,33,10,True,NORMAL,0.6,High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN003,U003,R103,120,27/01/2026 11:30:00,41,50,True,NORMAL,0.6,High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN004,U004,R104,80,27/01/2026 12:10:00,5,90,True,NORMAL,0.2,Multiple users sending to same receiver
TXN005,U005,R105,60,27/01/2026 13:20:00,6,70,True,NORMAL,0.0,
TXN006,U006,R999,20,28/01/2026 09:00:00,12,25,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN007,U007,R999,15,28/01/2026 09:05:00,14,22,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN008,U008,R999,10,28/01/2026 09:10:00,18,18,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN009,U009,R999,25,28/01/2026 09:15:00,20,30,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN010,U010,R106,500,28/01/2026 10:00:00,14,80,True,NORMAL,0.4,High transaction frequency in last 24 hours
TXN011,U011,R107,200,28/01/2026 10:10:00,22,10,True,NORMAL,0.4,High transaction frequency in last 24 hours
TXN012,U012,R999,30,28/01/2026 10:20:00,16,28,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN013,U013,R101,150,28/01/2026 10:30:00,25,45,True,NORMAL,0.6,High transaction frequency in last 24 hours; Multiple users sending to same receiver
TXN014,U014,R108,75,28/01/2026 10:45:00,19,15,True,NORMAL,0.4,High transaction frequency in last 24 hours
TXN015,U015,R109,40,28/01/2026 11:00:00,30,12,True,FRAUD,0.8,Low transaction amount; High transaction frequency in last 24 hours
TXN016,U016,R999,50,28/01/2026 11:15:00,15,35,True,FRAUD,1.0,Low transaction amount; High transaction frequency in last 24 hours; Multiple users sending to same receiver
